City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
439,San Andres,CO,82.42,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
445,Luau,AO,71.49,scattered clouds,-10.7073,22.2247,Casa- Bernardo Cândido
448,Mahibadhoo,MV,83.19,overcast clouds,3.7833,72.9667,Omadhoo Inn
449,Along,IN,76.62,overcast clouds,28.1667,94.7667,Hotel West
450,Palu,ID,75.67,moderate rain,-0.8917,119.8707,Hotel Santika Palu
451,Kant,IN,74.03,overcast clouds,27.8,79.8,Haseeb Khan shatreng
453,Marsa Matruh,EG,77.2,clear sky,31.3525,27.2453,Beau Site
455,Limoeiro Do Ajuru,BR,76.6,moderate rain,-1.8953,-49.3806,Hotel Dalva
456,Touros,BR,76.1,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
458,Kirakira,SB,83.26,overcast clouds,-10.4544,161.9205,SanBiz Lodge
459,Tado,CO,74.14,overcast clouds,5.266,-76.5649,Onney Quinto Renteria
460,Alice,US,82.31,clear sky,27.7523,-98.0697,"Holiday Inn Express & Suites Alice, an IHG Hotel"
461,Wajid,SO,73.85,broken clouds,3.8093,43.2471,xamdihotelresturant114
463,Teguise,ES,70.02,clear sky,29.0605,-13.564,B&B La Casona de Nazaret
465,Hasaki,JP,77.4,few clouds,35.7333,140.8333,Hotel Sunrise Choshi
470,Biak,ID,76.08,overcast clouds,-0.9131,122.8766,Penginapan Kim
471,Kohima,IN,71.01,overcast clouds,25.6667,94.1167,The Homestay
476,Panaba,MX,79.47,broken clouds,21.2833,-88.2667,Posada rosario
478,North Platte,US,79.25,clear sky,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
479,Conchal,BR,71.76,broken clouds,-22.3303,-47.1725,Cabanha Tondela
481,Phimai,TH,81.43,overcast clouds,15.2232,102.4947,Benya Guest House
483,Kavaratti,IN,80.94,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
485,Oyama,JP,78.04,overcast clouds,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
486,Qinzhou,CN,82.89,overcast clouds,21.95,108.6167,Jinjiang Inn Style Qingzhou Walmart
492,Bathsheba,BB,83.01,broken clouds,13.2167,-59.5167,Atlantis Hotel
493,Najran,SA,75.85,broken clouds,17.4924,44.1277,محمد هادي ال فطيح
498,Mecca,SA,83.01,broken clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
500,Canico,PT,74.71,scattered clouds,32.6333,-16.85,Quinta Splendida Wellness & Botanical Garden
503,Nouadhibou,MR,76.98,clear sky,20.931,-17.0347,El Medina
504,Boyolangu,ID,80.87,overcast clouds,-8.1181,111.8935,Yos ega cv
507,Bonthe,SL,75.13,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
514,Sao Felix Do Xingu,BR,79.16,scattered clouds,-6.6447,-51.995,Rio Xingu Camping
515,Kon Tum,VN,79.02,overcast clouds,14.35,108.0,Hoa đà spa- homestay
518,Cosala,MX,76.51,overcast clouds,24.4125,-106.6908,Hotel Real del Conde
520,Bubaque,GW,81.52,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
521,Yeppoon,AU,76.78,clear sky,-23.1333,150.7333,Villa Mar Colina
522,Mazatlan,MX,83.91,overcast clouds,23.2167,-106.4167,Hotel Playamar
523,Bartica,GY,77.32,clear sky,6.4,-58.6167,Sloth Island Nature Resort
524,Nakamura,JP,79.66,overcast clouds,32.9833,132.9333,Hotel Crown Hills Nakamura
530,Hit,IQ,81.07,clear sky,33.6416,42.8251,صالون زيرو
531,Prado,BR,74.08,clear sky,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
535,Tucurui,BR,73.04,scattered clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
537,Takoradi,GH,74.03,light rain,4.8845,-1.7554,Raybow International Hotel
540,Sabang,ID,81.73,overcast clouds,5.8933,95.3214,Hotel Citra
542,Baturaja,ID,81.1,broken clouds,-4.1333,104.1667,"HOTEL Sekar Sunja, Baturaja Timur, Ogan Komering Ulu"
543,Tual,ID,81.12,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
544,Mocuba,MZ,70.18,scattered clouds,-16.8392,36.9856,Phama Lodge
548,Namatanai,PG,83.71,light rain,-3.6667,152.4333,Seagulls Inn Namatani
550,Khuzdar,PK,78.64,clear sky,27.7384,66.6434,jhalwan Rent A Car Moola Chotok Boking Office
551,Bambanglipuro,ID,82.87,scattered clouds,-7.95,110.2833,Puri Brata
553,Umm Lajj,SA,82.45,clear sky,25.0213,37.2685,Moon light Furnished Units
554,Suez,EG,72.18,clear sky,29.9737,32.5263,Green House
557,Alta Floresta,BR,74.5,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
561,Saint Marys,US,82.06,scattered clouds,30.7305,-81.5465,Spencer House Inn
564,Huoqiu,CN,80.55,light rain,32.3394,116.2694,GreenTree Inn AnHui LuAn HuoQiu JianXing Road Express Hotel
565,Benguela,AO,70.43,clear sky,-12.5763,13.4055,Hotel Praia Morena
566,Mumford,GH,74.95,overcast clouds,5.2618,-0.759,Spanish Villa
569,Katsuura,JP,75.31,scattered clouds,35.1333,140.3,Katsuura Hotel Mikazuki
570,Qianjiang,CN,80.8,clear sky,30.4151,112.8859,Shell Qianjiang City Qianjiang bus station Hotel
571,Road Town,VG,80.69,overcast clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
572,Fort-Shevchenko,KZ,72.19,clear sky,44.5086,50.263,Oasis hotel Bautino
573,Jalu,LY,73.33,clear sky,29.0331,21.5482,صاحبة الفخامة
576,Culebra,PR,80.69,overcast clouds,18.303,-65.301,Palmetto Guesthouse
577,Kudahuvadhoo,MV,83.12,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
579,Correntina,BR,74.8,clear sky,-13.3433,-44.6367,Hotel Pousada dos Sonhos
582,Tecoanapa,MX,80.1,broken clouds,16.5167,-98.75,Hotel Manglares
584,Tabas,IR,77.54,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
585,Murray Bridge,AU,72.46,clear sky,-35.1167,139.2667,Balcony On Sixth Lodge
586,Manaus,BR,81.1,clear sky,-3.1019,-60.025,Manaus Hotéis Millennium
588,Baffa,PK,72.54,clear sky,34.4378,73.2194,Kisan veternary store Baffa
592,Puerto Escondido,MX,81.43,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
595,Creston,US,70.45,clear sky,41.0586,-94.3614,Supertel Inn & Conference Center
596,Hurghada,EG,82.44,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
597,Yellandu,IN,76.53,overcast clouds,17.6,80.3333,Chekuri Satyanarayana
598,Qalyub,EG,75.99,clear sky,30.1792,31.2056,كمال فهمى محمد فهمى
599,Damghan,IR,72.07,clear sky,36.1683,54.348,خوابگاه اساتيد دانشگاه دامغان
600,Alto Araguaia,BR,80.51,broken clouds,-17.3147,-53.2153,Araguaia Palace Hotel
601,Puerto Berrio,CO,76.6,heavy intensity rain,6.4916,-74.4033,Hotel Central
602,Seoul,KR,74.8,clear sky,37.5683,126.9778,롯데호텔 서울
603,Angra Dos Reis,BR,73.36,overcast clouds,-23.0067,-44.3181,Mercure Angra dos Reis
604,Vila Velha,BR,75.15,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
605,Clearwater,US,82.38,clear sky,27.9659,-82.8001,Shephard's Beach Resort
608,Dinajpur,BD,78.01,overcast clouds,25.6272,88.6386,Hotel Sahara
613,Altamira,BR,72.43,clear sky,-3.2033,-52.2064,Requinte Hotel
615,Odweyne,SO,74.68,overcast clouds,9.4092,45.064,Eng Hiirey House
618,Banda Aceh,ID,82.74,overcast clouds,5.5577,95.3222,Sulthan Hotel International
621,Zharkent,KZ,72.37,light rain,44.1628,80.0,гостиница Satti
624,Ixtapa,MX,79.83,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
628,Belmonte,BR,75.7,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
630,Ambunti,PG,77.85,overcast clouds,-4.2365,142.8448,Ambunti Lodge
631,Morehead,US,70.84,clear sky,37.2711,-87.1764,CCI Express Inn
637,Balikpapan,ID,77.99,heavy intensity rain,-1.2675,116.8289,ibis Balikpapan
638,Mantua,IT,74.44,overcast clouds,45.1667,10.7833,Hotel la Favorita
646,Monrovia,LR,75.33,moderate rain,6.3005,-10.7969,Sunset Inn
648,Guarapari,BR,75.09,clear sky,-20.6667,-40.4975,Hotel Porto do Sol
650,Cairns,AU,83.1,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
668,Wanning,CN,83.61,overcast clouds,18.8003,110.3967,Paradise Hotel
671,Padang,ID,82.45,few clouds,-0.9492,100.3543,Mercure Padang
674,Kingston,JM,83.35,few clouds,17.997,-76.7936,The Jamaica Pegasus Hotel
677,Nantucket,US,75.31,mist,41.2835,-70.0995,Jared Coffin House
678,Fengxian,CN,78.13,light rain,34.7039,116.5872,Tongrenju Hotel
680,Mattru,SL,72.0,light rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
688,Tiquisio,CO,76.86,overcast clouds,8.5597,-74.2669,Luis Florez
693,San Giljan,MT,74.07,clear sky,35.9184,14.4898,Radisson Blu
695,Linhares,BR,71.13,few clouds,-19.3911,-40.0722,Hotel Conceição
699,Isla Mujeres,MX,82.45,broken clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
