City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Bredasdorp,ZA,-34.5322,20.0403,47.52,93,70,2.3,light rain
80,Salekhard,RU,66.53,66.6019,41.7,90,100,12.8,overcast clouds
81,Codrington,AU,-38.2667,141.9667,56.64,62,7,8.03,clear sky
82,Lompoc,US,34.6391,-120.4579,70.79,79,1,11.5,clear sky
83,Chambersburg,US,39.9376,-77.6611,71.17,92,100,2.93,overcast clouds
84,Port Elizabeth,ZA,-33.918,25.5701,55.69,82,0,12.66,clear sky
85,Bonavista,CA,48.6499,-53.1147,51.12,76,100,16.93,overcast clouds
86,Udachnyy,RU,66.4167,112.4,43.32,64,18,13.91,few clouds
87,Avera,US,33.194,-82.5271,72.28,94,100,10.87,light rain
88,Hofn,IS,64.2539,-15.2082,52.03,96,95,8.61,overcast clouds
89,Bengkulu,ID,-3.8004,102.2655,81.81,73,23,3.38,few clouds
90,Vestmannaeyjar,IS,63.4427,-20.2734,53.85,94,100,30.56,overcast clouds
91,Chuy,UY,-33.6971,-53.4616,48.49,82,0,5.08,clear sky
92,Provideniya,RU,64.3833,-173.3,41.11,65,75,11.18,broken clouds
93,Zhanakorgan,KZ,43.9098,67.2495,67.91,25,0,5.97,clear sky
94,Sambava,MG,-14.2667,50.1667,68.18,88,52,9.31,light rain
95,Inuvik,CA,68.3499,-133.7218,58.06,52,75,3.44,broken clouds
96,Geraldton,AU,-28.7667,114.6,64.81,55,90,17.27,overcast clouds
97,Noyabrsk,RU,63.1994,75.4507,42.08,83,100,10.63,overcast clouds
98,Omsukchan,RU,62.5333,155.8,52.36,57,81,5.23,broken clouds
99,Chumikan,RU,54.7183,135.315,63.36,59,100,12.5,overcast clouds
100,Port Hedland,AU,-20.3167,118.5667,78.85,34,1,10.36,clear sky
101,Torit,SS,4.4133,32.5678,68.65,91,88,2.89,overcast clouds
102,Cascais,PT,38.6979,-9.4215,69.98,80,1,1.99,clear sky
103,Wawa,NG,9.9022,4.4192,73.08,94,84,4.83,broken clouds
104,Baiquan,CN,47.5833,126.0833,55.2,97,100,7.07,overcast clouds
105,Mugla,TR,37.2303,28.3557,61.47,75,71,6.53,broken clouds
106,Luderitz,NA,-26.6481,15.1594,51.3,69,0,19.04,clear sky
107,Krasnyy Chikoy,RU,50.3643,108.7512,58.05,70,4,3.18,clear sky
108,Luwuk,ID,-0.9516,122.7875,78.08,91,100,3.44,overcast clouds
109,Severo-Kurilsk,RU,50.6789,156.125,53.35,74,2,10.29,clear sky
110,Flinders,AU,-34.5833,150.8552,64.18,58,78,4.0,broken clouds
111,Novhorodka,UA,48.3651,32.6578,42.91,46,100,5.82,overcast clouds
112,Nizhnevartovsk,RU,60.9344,76.5531,46.42,93,90,13.42,light rain
113,Trairi,BR,-3.2778,-39.2689,79.18,85,3,13.15,clear sky
114,Cidreira,BR,-30.1811,-50.2056,55.96,66,45,4.79,scattered clouds
115,Cayenne,GF,4.9333,-52.3333,83.08,81,0,1.99,clear sky
116,Wembley,AU,-31.9333,115.8,60.1,79,40,21.85,light intensity shower rain
117,Dikson,RU,73.5069,80.5464,37.72,97,100,26.73,light rain
118,Tiruchchendur,IN,8.4833,78.1167,80.89,72,100,5.35,overcast clouds
119,Liwale,TZ,-9.7667,37.9333,67.21,90,96,3.89,overcast clouds
120,Chokurdakh,RU,70.6333,147.9167,37.92,62,91,9.42,overcast clouds
121,Leningradskiy,RU,69.3833,178.4167,30.54,90,100,3.67,overcast clouds
122,Vorotynets,RU,56.0603,45.8633,44.8,71,100,8.41,overcast clouds
123,Bichura,RU,50.5881,107.6022,59.23,71,5,3.89,clear sky
124,Polis,CY,35.0367,32.4264,73.22,91,1,4.45,clear sky
125,Kimbe,PG,-5.5502,150.1429,88.32,58,96,5.12,light rain
126,Mutoko,ZW,-17.397,32.2268,59.05,42,5,2.86,clear sky
127,Planaltina,BR,-15.4528,-47.6142,77.29,27,1,3.13,clear sky
128,Qaanaaq,GL,77.484,-69.3632,14.99,71,83,8.23,broken clouds
129,Husavik,IS,66.0449,-17.3389,42.71,75,99,10.04,overcast clouds
130,Wamba,NG,8.9333,8.6,72.03,94,100,2.71,light rain
131,Kahului,US,20.8947,-156.47,87.82,55,40,21.85,scattered clouds
132,Namibe,AO,-15.1961,12.1522,60.28,86,15,3.8,few clouds
133,Saint Paul,US,44.9444,-93.0933,72.81,49,20,1.01,few clouds
134,Mandih,PH,8.2087,123.0141,83.95,73,79,2.28,broken clouds
135,Bougouni,ML,11.417,-7.479,73.58,91,100,1.57,light rain
136,Olafsvik,IS,64.8945,-23.7142,52.83,95,100,17.43,overcast clouds
137,Castro,BR,-24.7911,-50.0119,57.25,98,100,9.6,overcast clouds
138,Iqaluit,CA,63.7506,-68.5145,35.33,93,75,0.0,light rain
139,Pahrump,US,36.2083,-115.9839,96.44,11,0,6.13,clear sky
140,Aykhal,RU,66.0,111.5,41.02,69,22,12.93,few clouds
141,Chimbote,PE,-9.0853,-78.5783,61.43,85,58,10.67,broken clouds
142,Lebu,CL,-37.6167,-73.65,47.66,85,1,5.66,clear sky
143,Norman Wells,CA,65.282,-126.8329,51.84,66,75,2.3,broken clouds
144,Dodge City,US,37.7528,-100.0171,78.31,65,1,5.01,clear sky
145,Raudeberg,NO,61.9875,5.1352,53.2,91,100,4.12,light rain
